image_name,A22,A21,A12,A11,ty,tx
TrainVal/35.933100129.235223.jpg,1.148643255,0.290096402,-0.041302484,0.84417069,-0.201229796,0.066179626
TrainVal/37.552000126.950000.jpg,1.224135041,-0.14201051,0.142794937,1.220528483,0.235296384,-0.171193466
TrainVal/37.450900126.659565.jpg,0.798805773,0.27756846,-0.189760879,1.116076231,0.207867756,-0.039119359
TrainVal/37.606000126.796000.jpg,0.805133402,0.028446,-0.252848536,1.019031763,0.216996625,0.17456466
TrainVal/36.327700127.451681.jpg,0.950179398,0.058751855,-0.134470671,1.10845232,-0.164406657,0.077738948
TrainVal/35.116340129.116100.jpg,0.799182534,0.140559867,-0.038349416,0.852704465,0.161728919,-0.201434106
TrainVal/37.498000126.859000.jpg,0.788455546,0.208196253,0.005306538,1.193520904,-0.059220772,-0.030627821
TrainVal/37.570000126.915000.jpg,0.977483273,0.162290499,-0.092457913,0.843098521,0.073156506,-0.0272069
TrainVal/36.369700127.381681.jpg,1.074987531,0.149692863,-0.066692837,0.891004086,-0.168694139,0.077549003
TrainVal/36.575100129.340223.jpg,0.90183872,-0.243205726,0.182876438,1.205584526,-0.138094023,0.042633876
TrainVal/36.521100129.326223.jpg,1.080768824,0.108902045,-0.166914359,1.003578305,0.229645714,0.195451632
TrainVal/35.876060128.613374.jpg,0.870642841,0.001996914,-0.040110268,0.83223772,-0.122858912,0.170358628
TrainVal/36.327700127.437681.jpg,0.944755554,0.26873973,-0.081767984,1.165963292,-0.124458075,-0.151702374
TrainVal/35.471100129.319223.jpg,1.162669897,0.049545206,-0.077442393,0.924715042,0.024861803,0.042632047
TrainVal/36.411700127.402681.jpg,1.100251317,0.244926572,-0.243852928,1.101614952,0.033910822,-0.059777077
TrainVal/35.112400126.834922.jpg,1.098031521,-0.277903229,0.196755648,1.004026532,-0.185046896,0.217005342
TrainVal/35.657100129.403223.jpg,0.917610407,0.022036195,-0.038293447,0.75581485,0.147142276,-0.168908849
TrainVal/35.128340128.969100.jpg,1.045023918,-0.075724788,0.110182695,0.829595685,0.077039547,-0.118514359
TrainVal/35.176340129.074100.jpg,0.795570374,0.049958069,-0.124834716,0.962945461,0.206668675,-0.135511518
TrainVal/37.480000126.782000.jpg,1.189180613,-0.118136063,0.292259306,1.040605545,-0.028660866,-0.210912243
TrainVal/36.393700127.423681.jpg,0.999453008,-0.015673211,0.370791227,0.850380659,0.184347346,0.158651605
TrainVal/35.777100129.340223.jpg,1.126097679,-0.218071744,0.220149904,0.856006682,0.2053238,-0.034293085
TrainVal/37.588000126.950000.jpg,0.806803644,-0.135272071,0.136797994,0.811286271,0.039852295,0.1846461
TrainVal/35.116340129.039100.jpg,1.076923728,0.069389835,0.010981515,1.159856915,0.00662477,-0.074523807
TrainVal/35.969100129.270223.jpg,0.820169747,-0.021568505,0.06485074,0.85922581,-0.130023733,-0.158046111
TrainVal/35.867100129.235223.jpg,1.217277884,-0.060718749,0.044242579,1.204200029,-0.005373681,-0.004567954
TrainVal/36.611100129.305223.jpg,0.828037083,-0.125280321,0.022408569,0.9059093,-0.055130582,0.140126035
TrainVal/37.456000126.838000.jpg,0.808596492,-0.109414414,0.10824322,0.790875793,0.228067264,0.221025288
TrainVal/35.495100129.305223.jpg,0.913228989,0.011046334,-0.059580352,0.879349411,-0.242298275,0.160597026
TrainVal/36.041100129.361223.jpg,1.082567453,-0.268616796,0.250502855,1.045447946,-0.024538146,0.073872983
TrainVal/35.981100129.277223.jpg,0.858083487,0.084784649,0.036378529,1.108144641,-0.158244416,0.093387716
TrainVal/36.315700127.318681.jpg,0.797816634,-0.123380028,0.009463836,1.128284335,0.137856334,0.21469298
TrainVal/36.419100129.298223.jpg,0.903436899,-0.002027515,0.010950501,0.973084807,0.005385782,0.004254328
TrainVal/36.563100129.382223.jpg,0.932075322,0.137528419,-0.195457101,1.051635146,0.016412795,0.155790225
TrainVal/35.657100129.340223.jpg,1.05897665,-0.154826194,0.017967727,1.147316694,0.04352235,0.061237544
TrainVal/36.369700127.423681.jpg,0.85650146,-0.125409737,0.156691939,0.972577691,-0.152617857,0.172154397
TrainVal/36.327700127.423681.jpg,0.950869024,-0.157992706,0.103965133,0.861983716,0.211689815,-0.094448857
TrainVal/35.453100129.291223.jpg,1.235536337,-0.055544768,0.033685666,1.205147743,-0.194440395,-0.030565014
TrainVal/35.194340128.983100.jpg,0.873552263,-0.116464518,0.12718609,1.039548516,0.10560789,0.051421545
